created_at,text,retweets,likes
Sat Feb 13 17:41:03 +0000 2021,"Not confirmed but FYI
 https://t.co/JMlFuQLhVw",1,4
Sat Feb 13 17:02:54 +0000 2021,"[NYC H+H · Queens] Citi Field (Queens residents/eligible groups only): 11 appts

Feb 13 – 2:15PM, 2:30PM, 2:45PM + 8

https://t.co/iVRnr1hjSf",5,8
Sat Feb 13 16:55:11 +0000 2021,"[NYC H+H · Bronx] Lincoln Hospital: 11 appts

Feb 15 – 7:30AM, 9:00AM, 10:00AM + 8

https://t.co/iVRnr1hjSf",3,3
Sat Feb 13 14:14:13 +0000 2021,"[NYC H+H · Brooklyn] East NY/Gotham Health: 11 appts

Feb 13 – 12:00PM, 1:30PM, 2:00PM + 8

https://t.co/iVRnr1hjSf",3,16
Sat Feb 13 06:07:34 +0000 2021,"[NYC H+H · Bronx] North Central Bronx Hospital: 7 appts

Feb 14 – 7:30AM, 8:15AM, 9:15AM + 4

https://t.co/iVRnr1hjSf",3,8
Sat Feb 13 06:01:45 +0000 2021,"[NYC H+H · Queens] Citi Field (Queens residents/eligible groups only): 8 appts

Feb 13 – 4:15AM, 6:15AM, 10:15AM + 5

https://t.co/iVRnr1hjSf",5,11
Sat Feb 13 05:08:32 +0000 2021,"[NYC H+H · Staten Island] Vanderbilt Hospital: 21 appts

Feb 20 – 12:30AM, 1:00AM, 1:30AM + 18

https://t.co/iVRnr1hjSf",3,10
Sat Feb 13 05:06:33 +0000 2021,"[NYC H+H · Manhattan] Sydenham Hospital: 5 appts

Feb 20 – 9:30AM, 5:00PM, 6:00PM + 2

https://t.co/iVRnr1hjSf",3,15
Fri Feb 12 22:02:34 +0000 2021,"[NYC H+H · Brooklyn] Coney Island Hospital: 11 appts

Feb 13 – 7:00AM, 7:30AM, 8:00AM + 8

https://t.co/iVRnr1hjSf",0,11
Fri Feb 12 21:37:32 +0000 2021,"[NYC H+H · Bronx] Lincoln Hospital: 15 appts

Feb 18 – 11:15AM, 12:15PM, 1:15PM + 12

https://t.co/iVRnr1hjSf",3,12
Fri Feb 12 20:47:27 +0000 2021,@KiraCla32299774 @dawndrake yes,0,3
Fri Feb 12 20:37:32 +0000 2021,"[NYC H+H · Brooklyn] Kings County Hospital: 9 appts

Feb 15 – 12:00PM, 12:15PM, 1:00PM + 6

https://t.co/iVRnr1hjSf",4,11
Fri Feb 12 20:17:38 +0000 2021,"My mom received her second dose last week, so I'm lucky we're able to celebrate the new year together. Hope many of you will soon be able to do the same! Wishing you health, wealth and a sense of normalcy in this year of the ox",3,263
Fri Feb 12 20:17:38 +0000 2021,"Hi all, we've raised $6193 for @wtchinatown—all in one day! Thanks to all of you who've donated, and to those who've offered everything from free meals to hot sauce made from community-grown peppers(?). I appreciate your generosity! https://t.co/fr8LnXLq8X",8,199
Fri Feb 12 20:07:31 +0000 2021,"[NYC H+H · Brooklyn] East NY/Gotham Health: 20 appts

Feb 15 – 9:00AM, 9:30AM, 10:00AM + 17

https://t.co/iVRnr1hjSf",1,5
Fri Feb 12 19:16:35 +0000 2021,"[NYC H+H · Manhattan] Gouverneur Hospital: 8 appts

Feb 13 – 2:30PM, 3:30PM, 4:00PM + 5

https://t.co/iVRnr1hjSf",1,4
Fri Feb 12 18:57:33 +0000 2021,"[NYC H+H · Manhattan] Gouverneur Hospital: 15 appts

Feb 13 – 9:00AM, 9:30AM, 10:00AM + 12

https://t.co/iVRnr1hjSf",0,3
Fri Feb 12 18:39:05 +0000 2021,"[NYC H+H · Bronx] Belvis Hospital: 20 appts

Feb 14 – 9:00AM, 9:30AM, 10:00AM + 17

https://t.co/iVRnr1hjSf",2,8
Fri Feb 12 16:49:31 +0000 2021,"[NYC H+H · Manhattan] Metropolitan Hospital: 7 appts

Feb 14 – 11:15AM, 11:30AM, 12:30PM + 4

https://t.co/iVRnr1hjSf",3,14
Fri Feb 12 15:22:03 +0000 2021,"[NYC H+H · Brooklyn] Kings County Hospital: 41 appts

Feb 12 – 11:45AM, 12:15PM, 12:20PM + 38

https://t.co/iVRnr1hjSf",2,4
Fri Feb 12 15:06:58 +0000 2021,@fabiansamaan24 got you,0,0
Fri Feb 12 14:56:31 +0000 2021,"[NYC H+H · Brooklyn] Kings County Hospital: 30 appts

Feb 12 – 12:15PM, 12:25PM, 12:30PM + 27

https://t.co/iVRnr1hjSf",4,10
Fri Feb 12 14:08:31 +0000 2021,"[NYC H+H · Brooklyn] Kings County Hospital: 14 appts

Feb 12 – 9:30AM, 9:35AM, 9:45AM, 9:50AM and 10 more

https://t.co/iVRnr1hjSf",3,4
Fri Feb 12 14:07:02 +0000 2021,"[NYC H+H · Brooklyn] Kings County Hospital: 31 appts

Feb 12 – 9:30AM, 9:35AM, 9:45AM, 9:50AM and 27 more

https://t.co/iVRnr1hjSf",2,7
Fri Feb 12 13:37:44 +0000 2021,I won't be adding Twitter alerts (I'm tired) but NYC Vaccine List has a ton pharmacies covered  https://t.co/EbP47MufK9,11,75
Fri Feb 12 13:37:44 +0000 2021,"For those of you scheduling appointments for those who are 65+, many pharmacies are now scheduling appointments in the coming weeks. See the city's finder to find a location https://t.co/J3Nz9SLU5Y",30,81
Fri Feb 12 06:09:03 +0000 2021,"[NYC H+H · Queens] Citi Field (Queens residents/eligible groups only): 10 appts

Feb 12 – 7:15AM, 9:15AM, 11:15AM, 1:00PM and 6 more

https://t.co/iVRnr1hjSf",4,29
Fri Feb 12 05:04:03 +0000 2021,"[NYC H+H · Staten Island] Vanderbilt Hospital: 32 appts

Feb 19 – 12:00AM, 12:30AM, 1:00AM, 1:30AM and 28 more

https://t.co/iVRnr1hjSf",1,9
Fri Feb 12 05:03:05 +0000 2021,"[NYC H+H · Manhattan] Bellevue Hospital: 10 appts

Feb 19 – 7:30AM, 7:45AM, 1:45PM, 2:15PM and 6 more

https://t.co/iVRnr1hjSf",0,6
Fri Feb 12 05:02:39 +0000 2021,"[NYC H+H · Bronx] Morrisania Hospital: 9 appts

Feb 19 – 12:00PM, 3:30PM, 4:00PM, 4:30PM and 5 more

https://t.co/iVRnr1hjSf",0,2
Fri Feb 12 05:02:38 +0000 2021,"[NYC H+H · Brooklyn] Coney Island Hospital: 14 appts

Feb 19 – 7:15AM, 7:30AM, 7:45AM, 8:30AM and 10 more

https://t.co/iVRnr1hjSf",0,5
Fri Feb 12 05:02:07 +0000 2021,"[NYC H+H · Manhattan] Sydenham Hospital: 11 appts

Feb 19 – 9:00AM, 2:00PM, 3:00PM, 3:30PM and 7 more

https://t.co/iVRnr1hjSf",0,10
Thu Feb 11 20:29:02 +0000 2021,"[NYC H+H · Bronx] Morrisania Hospital: 9 appts

Feb 17 – 12:00PM, 3:30PM, 4:00PM, 4:30PM and 5 more

https://t.co/iVRnr1hjSf",3,6
Thu Feb 11 20:29:02 +0000 2021,"[NYC H+H · Bronx] Morrisania Hospital: 9 appts

Feb 16 – 12:00PM, 3:30PM, 4:00PM, 4:30PM and 5 more

https://t.co/iVRnr1hjSf",3,4
Thu Feb 11 20:29:01 +0000 2021,"[NYC H+H · Bronx] Lincoln Hospital: 5 appts

Feb 14 – 10:00AM, 12:00PM, 2:00PM, 4:00PM and 1 more

https://t.co/iVRnr1hjSf",3,2
Thu Feb 11 20:25:31 +0000 2021,"[NYC H+H · Bronx] Morrisania Hospital: 6 appts

Feb 12 – 3:30PM, 4:00PM, 4:30PM, 5:30PM and 2 more

https://t.co/iVRnr1hjSf",1,1
Thu Feb 11 20:01:02 +0000 2021,"[NYC H+H · Manhattan] Bellevue Hospital: 5 appts

Feb 14 – 7:15AM, 8:15AM, 10:15AM, 11:15AM and 1 more

https://t.co/iVRnr1hjSf",3,9
Thu Feb 11 19:48:35 +0000 2021,"[NYC H+H · Manhattan] Bellevue Hospital: 12 appts

Feb 12 – 7:30AM, 8:30AM, 9:30AM, 10:30AM and 8 more

https://t.co/iVRnr1hjSf",3,7
Thu Feb 11 19:39:03 +0000 2021,"[NYC H+H · Bronx] Morrisania Hospital: 16 appts

Feb 13 – 9:30AM, 10:00AM, 10:30AM, 11:00AM and 12 more

https://t.co/iVRnr1hjSf",0,2
Thu Feb 11 19:39:03 +0000 2021,"[NYC H+H · Bronx] Morrisania Hospital: 15 appts

Feb 12 – 9:00AM, 11:00AM, 11:30AM, 12:00PM and 11 more

https://t.co/iVRnr1hjSf",0,0
Thu Feb 11 19:19:32 +0000 2021,"[NYC H+H · Bronx] Bathgate Postal Station: 68 appts

Feb 15 – 12:00AM, 12:15AM, 12:30AM, 12:45AM and 64 more

https://t.co/iVRnr1hjSf",0,5
Thu Feb 11 19:19:31 +0000 2021,"[NYC H+H · Bronx] Bathgate Postal Station: 75 appts

Feb 14 – 12:30AM, 12:45AM, 1:00AM, 1:15AM and 71 more

https://t.co/iVRnr1hjSf",0,1
Thu Feb 11 19:19:31 +0000 2021,"[NYC H+H · Bronx] Bathgate Postal Station: 92 appts

Feb 13 – 12:00AM, 12:15AM, 12:30AM, 12:45AM and 88 more

https://t.co/iVRnr1hjSf",0,2
Thu Feb 11 19:19:30 +0000 2021,"[NYC H+H · Bronx] Bathgate Postal Station: 79 appts

Feb 12 – 1:15AM, 1:45AM, 2:15AM, 2:30AM and 75 more

https://t.co/iVRnr1hjSf",0,2
Thu Feb 11 18:35:06 +0000 2021,"[NYC H+H · Brooklyn] Brooklyn Army Terminal: 43 appts

Feb 15 – 12:00AM, 12:45AM, 1:45AM, 2:00AM and 39 more

https://t.co/iVRnr1hjSf",7,7
Thu Feb 11 18:31:33 +0000 2021,"[NYC H+H · Brooklyn] Brooklyn Army Terminal: 91 appts

Feb 14 – 12:00AM, 12:15AM, 12:45AM, 1:00AM and 87 more

https://t.co/iVRnr1hjSf",4,7
Thu Feb 11 18:31:33 +0000 2021,"[NYC H+H · Brooklyn] Brooklyn Army Terminal: 84 appts

Feb 13 – 12:45AM, 1:15AM, 1:30AM, 1:45AM and 80 more

https://t.co/iVRnr1yUJN",4,3
Thu Feb 11 18:31:32 +0000 2021,"[NYC H+H · Brooklyn] Brooklyn Army Terminal: 67 appts

Feb 12 – 1:30AM, 1:45AM, 2:00AM, 2:30AM and 63 more

https://t.co/iVRnr1hjSf",2,2
Thu Feb 11 17:55:16 +0000 2021,"Combined with the alarming spike in anti-Asian violence, this is a trying moment that is ordinarily the most festive part of the year for many of us Asian-Americans. We need to do our best to raise awareness and take care of each other. Let's pay it forward.

- Huge",20,359
Thu Feb 11 17:55:16 +0000 2021,"This non-profit is a grassroots initiative that supports Chinatown businesses, raising $650K+ and aiding 80+ local businesses to date. The funds will help a community decimated by the pandemic recover so that New York will again have the vibrant Chinatown that it deserves.",16,260
Thu Feb 11 17:55:15 +0000 2021,"Hi all, many of you have asked about contributing to a venmo/gofundme/etc for the effort. I'm fortunate to be well-taken care of by my day job and instead ask that if you found this useful, and have the means, to donate to @WtChinatown https://t.co/fr8LnXLq8X",183,2003
Thu Feb 11 17:26:31 +0000 2021,"[NYC H+H · Bronx] North Central Bronx Hospital: 19 appts

Feb 11 – 12:30PM, 12:45PM, 1:00PM, 1:15PM and 15 more

https://t.co/iVRnr1hjSf",4,11
Thu Feb 11 17:19:06 +0000 2021,"[NYC H+H · Bronx] Bathgate Postal Station: 40 appts

Feb 11 – 2:00PM, 2:15PM, 2:30PM, 2:45PM and 36 more

https://t.co/iVRnr1hjSf",1,5
Thu Feb 11 17:19:05 +0000 2021,"[NYC H+H · Brooklyn] Brooklyn Army Terminal: 40 appts

Feb 11 – 2:00PM, 2:15PM, 2:30PM, 2:45PM and 36 more

https://t.co/iVRnr1hjSf",2,3
Thu Feb 11 16:55:35 +0000 2021,"[NYC H+H · Brooklyn] East NY/Gotham Health: 17 appts

Feb 14 – 9:30AM, 10:00AM, 10:30AM, 11:00AM and 13 more

https://t.co/iVRnr1hjSf",1,7
Thu Feb 11 16:38:01 +0000 2021,"[NYC H+H · Manhattan] Bellevue Hospital: 5 appts

Feb 16 – 8:00AM, 9:00AM, 10:00AM, 11:00AM and 1 more

https://t.co/iVRnr1hjSf",2,6
Thu Feb 11 16:38:00 +0000 2021,"[NYC H+H · Manhattan] Bellevue Hospital: 11 appts

Feb 15 – 7:00AM, 8:00AM, 9:00AM, 11:00AM and 7 more

https://t.co/iVRnr1hjSf",3,11
Thu Feb 11 15:19:03 +0000 2021,"[NYC H+H · Bronx] North Central Bronx Hospital: 18 appts

Feb 11 – 10:30AM, 10:45AM, 11:25AM, 11:30AM and 14 more

https://t.co/iVRnr1hjSf",5,4
Thu Feb 11 15:15:05 +0000 2021,"[NYC Vaccine Hub · Brooklyn] Abraham Lincoln High School: 4 appts

Feb 11 – 10:30AM, 11:00AM, 11:10AM, 11:50AM

https://t.co/jQDJPwNCK4",1,7
Thu Feb 11 15:10:31 +0000 2021,"[NYC H+H · Manhattan] Gouverneur Hospital: 13 appts

Feb 18 – 9:30AM, 10:00AM, 10:30AM, 11:00AM and 9 more

https://t.co/iVRnr1hjSf",1,3
Thu Feb 11 15:00:02 +0000 2021,"[NYC Vaccine Hub · Bronx] Adlai E. Stevenson High School: 3 appts

Feb 11 – 11:20AM, 5:30PM, 5:50PM

https://t.co/jQDJPwNCK4",2,3
Thu Feb 11 14:37:32 +0000 2021,"[NYC H+H · Manhattan] Gouverneur Hospital: 8 appts

Feb 15 – 9:00AM, 9:30AM, 10:00AM, 10:30AM and 4 more

https://t.co/iVRnr1hjSf",1,6
Thu Feb 11 14:28:32 +0000 2021,"[NYC H+H · Brooklyn] East NY/Gotham Health: 18 appts

Feb 14 – 9:00AM, 9:30AM, 10:00AM, 10:30AM and 14 more

https://t.co/iVRnr1hjSf",0,3
Thu Feb 11 14:28:31 +0000 2021,"[NYC H+H · Brooklyn] East NY/Gotham Health: 10 appts

Feb 13 – 1:30PM, 2:00PM, 2:30PM, 3:00PM and 6 more

https://t.co/iVRnr1hjSf",1,2
Thu Feb 11 14:28:31 +0000 2021,"[NYC H+H · Brooklyn] East NY/Gotham Health: 10 appts

Feb 12 – 1:30PM, 2:00PM, 2:30PM, 3:00PM and 6 more

https://t.co/iVRnr1hjSf",0,0
Thu Feb 11 14:28:03 +0000 2021,"[NYC H+H · Queens] Elmhurst Hospital: 19 appts

Feb 12 – 7:15AM, 7:30AM, 7:45AM, 8:00AM and 15 more

https://t.co/iVRnr1hjSf",0,5
Thu Feb 11 14:15:05 +0000 2021,"[NYC Vaccine Hub · Bronx] Walton Educational School: 3 appts

Feb 11 – 2:10PM, 3:50PM, 5:40PM

https://t.co/jQDJPwNCK4",0,5
Thu Feb 11 13:52:33 +0000 2021,"[NYC H+H · Queens] Elmhurst Hospital: 7 appts

Feb 11 – 2:30PM, 2:45PM, 3:15PM, 3:30PM and 3 more

https://t.co/iVRnr1hjSf",4,9
Thu Feb 11 13:50:32 +0000 2021,"[NYC H+H · Brooklyn] East NY/Gotham Health: 10 appts

Feb 11 – 1:30PM, 2:00PM, 2:30PM, 3:00PM and 6 more

https://t.co/iVRnr1hjSf",3,11
Thu Feb 11 13:36:52 +0000 2021,@AmazonS04459564 thank you! fixed,0,1
Thu Feb 11 06:11:34 +0000 2021,"[NYC H+H · Bronx] Jacobi Hospital: 11 appts

Feb 12 – 7:30AM, 8:30AM, 9:30AM, 10:30AM and 7 more

https://t.co/iVRnr1hjSf",3,16
Thu Feb 11 06:11:33 +0000 2021,"[NYC H+H · Queens] Elmhurst Hospital: 17 appts

Feb 12 – 8:30AM, 11:45AM, 12:15PM, 12:45PM and 13 more

https://t.co/iVRnr1hjSf",1,4
Thu Feb 11 06:01:31 +0000 2021,"[NYC H+H · Queens] Citi Field (Queens residents/eligible groups only): 24 appts

Feb 11 – 1:15AM, 2:15AM, 3:15AM, 4:15AM and 20 more

https://t.co/iVRnr1hjSf",3,14
Thu Feb 11 05:04:05 +0000 2021,"[NYC H+H · Manhattan] Gouverneur Hospital: 3 appts

Feb 18 – 2:30PM, 3:00PM, 5:00PM

https://t.co/iVRnr1hjSf",0,9
Thu Feb 11 05:04:04 +0000 2021,"[NYC H+H · Brooklyn] East NY/Gotham Health: 3 appts

Feb 18 – 3:00PM, 4:30PM, 5:00PM

https://t.co/iVRnr1hjSf",0,1
Thu Feb 11 05:04:04 +0000 2021,"[NYC H+H · Staten Island] Vanderbilt Hospital: 27 appts

Feb 18 – 12:00AM, 12:30AM, 1:00AM, 1:30AM and 23 more

https://t.co/iVRnr1hjSf",0,1
Thu Feb 11 05:04:03 +0000 2021,"[NYC H+H · Brooklyn] Woodhull Hospital: 42 appts

Feb 18 – 7:00AM, 7:15AM, 7:30AM, 7:45AM and 38 more

https://t.co/iVRnr1hjSf",1,2
Thu Feb 11 05:04:03 +0000 2021,"[NYC H+H · Brooklyn] Coney Island Hospital: 11 appts

Feb 18 – 9:45AM, 10:30AM, 10:45AM, 12:15PM and 7 more

https://t.co/iVRnr1hjSf",2,4
Thu Feb 11 05:04:02 +0000 2021,"[NYC H+H · Manhattan] Bellevue Hospital: 13 appts

Feb 18 – 7:00AM, 10:45AM, 1:15PM, 1:30PM and 9 more

https://t.co/iVRnr1hjSf",0,2
Thu Feb 11 00:30:06 +0000 2021,"[NYC Vaccine Hub · Staten Island] Staten Island Technical High School: 4 appts

Feb 13 – 12:10PM, 4:10PM, 4:40PM, 5:40PM

https://t.co/jQDJPwNCK4",3,16
Thu Feb 11 00:30:06 +0000 2021,"[NYC Vaccine Hub · Staten Island] Staten Island Technical High School: 3 appts

Feb 12 – 10:10AM, 1:40PM, 5:20PM

https://t.co/jQDJPwNCK4",0,5
Thu Feb 11 00:30:05 +0000 2021,"[NYC Vaccine Hub · Staten Island] Port Richmond High School: 4 appts

Feb 13 – 2:10PM, 3:00PM, 3:10PM, 3:20PM

https://t.co/jQDJPwNCK4",0,4
Thu Feb 11 00:30:05 +0000 2021,"[NYC Vaccine Hub · Bronx] Adlai E. Stevenson High School: 3 appts

Feb 13 – 1:40PM, 3:30PM, 4:40PM

https://t.co/jQDJPwNCK4",0,5
Thu Feb 11 00:15:05 +0000 2021,"[NYC Vaccine Hub · Bronx] Adlai E. Stevenson High School: 2 appts

Feb 11 – 12:00PM, 5:40PM

https://t.co/jQDJPwNCK4",2,9
Thu Feb 11 00:01:23 +0000 2021,"wow, busy day! received pages and pages of messages today. i'm glad many of you were able to find appointments. 

others have contacted me directly asking if I can help them reschedule their appointments. sorry, i can't help you! please stop asking 🙂

-Huge",6,499
Wed Feb 10 22:15:07 +0000 2021,"[NYC Vaccine Hub · Bronx] South Bronx Educational Campus: 12 appts

Feb 13 – 10:00AM, 10:10AM, 10:20AM, 10:30AM and 8 more

https://t.co/jQDJPwNCK4",1,12
Wed Feb 10 22:05:33 +0000 2021,"[NYC Vaccine Hub · Queens] Beach Channel Educational Campus: 44 appts

Feb 13 – 10:30AM, 10:40AM, 10:50AM, 11:10AM and 40 more

https://t.co/jQDJPx5dBC",2,16
Wed Feb 10 21:57:04 +0000 2021,"[NYC H+H · Brooklyn] Kings County Hospital: 14 appts

Feb 11 – 8:30AM, 9:15AM, 11:30AM, 12:15PM and 10 more

https://t.co/iVRnr1hjSf",8,13
Wed Feb 10 21:48:31 +0000 2021,"[NYC H+H · Queens] Elmhurst Hospital: 9 appts

Feb 11 – 10:45AM, 1:15PM, 2:15PM, 2:30PM and 5 more

https://t.co/iVRnr1hjSf",1,8
Wed Feb 10 21:41:38 +0000 2021,"[NYC Vaccine Hub · Manhattan] Marta Valle High School: 2 appts

Feb 14 – 10:30AM, 5:10PM

https://t.co/jQDJPwNCK4",1,6
Wed Feb 10 21:35:07 +0000 2021,"[NYC Vaccine Hub · Queens] Hillcrest High School: 10 appts

Feb 14 – 10:20AM, 10:30AM, 10:40AM, 10:50AM and 6 more

https://t.co/jQDJPwNCK4",2,8
Wed Feb 10 21:35:06 +0000 2021,"[NYC Vaccine Hub · Queens] Aviation High School: 3 appts

Feb 14 – 10:40AM, 5:10PM, 5:50PM

https://t.co/jQDJPwNCK4",4,5
Wed Feb 10 21:35:04 +0000 2021,"[NYC Vaccine Hub · Bronx] Adlai E. Stevenson High School: 45 appts

Feb 13 – 10:20AM, 10:30AM, 10:40AM, 10:50AM and 41 more

https://t.co/jQDJPwNCK4",1,2
Wed Feb 10 21:33:39 +0000 2021,"[NYC Vaccine Hub · Manhattan] Wadleigh Campus/I.S. 88: 33 appts

Feb 13 – 12:30PM, 12:40PM, 12:50PM, 1:00PM and 29 more

https://t.co/jQDJPwNCK4",1,5
Wed Feb 10 21:32:03 +0000 2021,"[NYC Vaccine Hub · Brooklyn] Abraham Lincoln High School: 2 appts

Feb 14 – 11:30AM, 5:50PM

https://t.co/jQDJPwNCK4",1,2
Wed Feb 10 21:26:32 +0000 2021,"[NYC H+H · Brooklyn] Woodhull Hospital: 3 appts

Feb 13 – 1:00PM, 1:30PM, 3:30PM

https://t.co/iVRnr1hjSf",1,4
Wed Feb 10 21:26:04 +0000 2021,"[NYC Vaccine Hub · Queens] August Martin High School: 26 appts

Feb 13 – 1:30PM, 1:40PM, 1:50PM, 2:10PM and 22 more

https://t.co/jQDJPwNCK4",3,6
Wed Feb 10 21:21:37 +0000 2021,"[NYC Vaccine Hub · Queens] Hillcrest High School: 11 appts

Feb 13 – 10:10AM, 10:20AM, 10:30AM, 10:40AM and 7 more

https://t.co/jQDJPwNCK4",4,11
Wed Feb 10 21:13:40 +0000 2021,"[NYC Vaccine Hub · Staten Island] Staten Island Technical High School: 12 appts

Feb 12 – 10:00AM, 10:10AM, 10:20AM, 10:30AM and 8 more

https://t.co/jQDJPwNCK4",0,4
Wed Feb 10 21:12:40 +0000 2021,"[NYC Vaccine Hub · Staten Island] Staten Island Technical High School: 12 appts

Feb 11 – 10:00AM, 10:10AM, 10:20AM, 10:30AM and 8 more

https://t.co/jQDJPwNCK4",2,6
Wed Feb 10 21:08:37 +0000 2021,"[NYC Vaccine Hub · Staten Island] Port Richmond High School: 30 appts

Feb 12 – 12:00PM, 12:10PM, 12:20PM, 12:30PM and 26 more

https://t.co/jQDJPwNCK4",0,4
Wed Feb 10 21:08:33 +0000 2021,"[NYC Vaccine Hub · Queens] Aviation High School: 45 appts

Feb 13 – 10:20AM, 10:40AM, 10:50AM, 11:00AM and 41 more

https://t.co/jQDJPwNCK4",2,6
Wed Feb 10 21:07:10 +0000 2021,"[NYC Vaccine Hub · Staten Island] Port Richmond High School: 12 appts

Feb 11 – 10:00AM, 10:10AM, 10:20AM, 10:30AM and 8 more

https://t.co/jQDJPwNCK4",0,1
Wed Feb 10 21:04:39 +0000 2021,"[NYC Vaccine Hub · Queens] Hillcrest High School: 12 appts

Feb 12 – 10:00AM, 10:10AM, 10:20AM, 10:30AM and 8 more

https://t.co/jQDJPwNCK4",1,4
Wed Feb 10 21:03:38 +0000 2021,"[NYC Vaccine Hub · Queens] Hillcrest High School: 12 appts

Feb 11 – 10:00AM, 10:10AM, 10:20AM, 10:30AM and 8 more

https://t.co/jQDJPwNCK4",0,3
Wed Feb 10 20:59:37 +0000 2021,"[NYC Vaccine Hub · Queens] Beach Channel Educational Campus: 12 appts

Feb 12 – 10:00AM, 10:10AM, 10:20AM, 10:30AM and 8 more

https://t.co/jQDJPwNCK4",0,1
Wed Feb 10 20:58:36 +0000 2021,"[NYC Vaccine Hub · Queens] Beach Channel Educational Campus: 12 appts

Feb 11 – 10:00AM, 10:10AM, 10:20AM, 10:30AM and 8 more

https://t.co/jQDJPwNCK4",0,0
Wed Feb 10 20:56:05 +0000 2021,"[NYC Vaccine Hub · Manhattan] Marta Valle High School: 42 appts

Feb 13 – 10:50AM, 11:10AM, 11:20AM, 11:30AM and 38 more

https://t.co/jQDJPwNCK4",3,9
Wed Feb 10 20:54:37 +0000 2021,"[NYC Vaccine Hub · Queens] Aviation High School: 12 appts

Feb 12 – 10:00AM, 10:10AM, 10:20AM, 10:30AM and 8 more

https://t.co/jQDJPwNCK4",0,4
Wed Feb 10 20:52:34 +0000 2021,"[NYC Vaccine Hub · Queens] Aviation High School: 12 appts

Feb 11 – 10:00AM, 10:10AM, 10:20AM, 10:30AM and 8 more

https://t.co/jQDJPwNCK4",2,15
Wed Feb 10 20:49:06 +0000 2021,"[NYC Vaccine Hub · Queens] August Martin High School: 30 appts

Feb 12 – 12:00PM, 12:10PM, 12:20PM, 12:30PM and 26 more

https://t.co/jQDJPwNCK4",0,2
Wed Feb 10 20:47:04 +0000 2021,"[NYC Vaccine Hub · Queens] August Martin High School: 12 appts

Feb 11 – 10:00AM, 10:10AM, 10:20AM, 10:30AM and 8 more

https://t.co/jQDJPwNCK4",2,5
Wed Feb 10 20:44:02 +0000 2021,"[NYC Vaccine Hub · Brooklyn] George Westinghouse Vocational HS: 39 appts

Feb 13 – 11:20AM, 11:40AM, 11:50AM, 12:00PM and 35 more

https://t.co/jQDJPwNCK4",4,5
Wed Feb 10 20:43:05 +0000 2021,"[NYC Vaccine Hub · Manhattan] Wadleigh Campus/I.S. 88: 30 appts

Feb 12 – 12:00PM, 12:10PM, 12:20PM, 12:30PM and 26 more

https://t.co/jQDJPwNCK4",1,4
Wed Feb 10 20:42:36 +0000 2021,"[NYC Vaccine Hub · Brooklyn] Canarsie High School: 26 appts

Feb 13 – 1:40PM, 1:50PM, 2:00PM, 2:10PM and 22 more

https://t.co/jQDJPwNCK4",4,6
Wed Feb 10 20:41:38 +0000 2021,"[NYC Vaccine Hub · Manhattan] Wadleigh Campus/I.S. 88: 12 appts

Feb 11 – 10:00AM, 10:10AM, 10:20AM, 10:30AM and 8 more

https://t.co/jQDJPwNCK4",2,4
Wed Feb 10 20:37:04 +0000 2021,"[NYC Vaccine Hub · Manhattan] Marta Valle High School: 12 appts

Feb 12 – 10:00AM, 10:10AM, 10:20AM, 10:30AM and 8 more

https://t.co/jQDJPwNCK4",2,4
Wed Feb 10 20:35:38 +0000 2021,"[NYC Vaccine Hub · Manhattan] Marta Valle High School: 12 appts

Feb 11 – 10:00AM, 10:10AM, 10:20AM, 10:30AM and 8 more

https://t.co/jQDJPwNCK4",0,2
Wed Feb 10 20:32:38 +0000 2021,"[NYC Vaccine Hub · Bronx] Walton Educational School: 30 appts

Feb 12 – 12:00PM, 12:10PM, 12:20PM, 12:30PM and 26 more

https://t.co/jQDJPwNCK4",4,7
Wed Feb 10 20:31:07 +0000 2021,"[NYC Vaccine Hub · Bronx] Walton Educational School: 12 appts

Feb 11 – 10:00AM, 10:10AM, 10:20AM, 10:30AM and 8 more

https://t.co/jQDJPwNCK4",2,1
Wed Feb 10 20:28:35 +0000 2021,"[NYC Vaccine Hub · Bronx] South Bronx Educational Campus: 12 appts

Feb 12 – 10:00AM, 10:10AM, 10:20AM, 10:30AM and 8 more

https://t.co/jQDJPwNCK4",2,1
Wed Feb 10 20:27:37 +0000 2021,"[NYC Vaccine Hub · Bronx] South Bronx Educational Campus: 12 appts

Feb 11 – 10:00AM, 10:10AM, 10:20AM, 10:30AM and 8 more

https://t.co/jQDJPwNCK4",1,3
Wed Feb 10 20:22:33 +0000 2021,"[NYC Vaccine Hub · Bronx] Adlai E. Stevenson High School: 12 appts

Feb 12 – 10:00AM, 10:10AM, 10:20AM, 10:30AM and 8 more

https://t.co/jQDJPwNCK4",4,2
Wed Feb 10 20:21:02 +0000 2021,"[NYC Vaccine Hub · Bronx] Adlai E. Stevenson High School: 12 appts

Feb 11 – 10:00AM, 10:10AM, 10:20AM, 10:30AM and 8 more

https://t.co/jQDJPwNCK4",0,1
Wed Feb 10 20:19:04 +0000 2021,"[NYC Vaccine Hub · Brooklyn] Bushwick Educational Campus: 8 appts

Feb 14 – 10:20AM, 10:30AM, 10:40AM, 5:10PM and 4 more

https://t.co/jQDJPwNCK4",2,7
