created_at,text,retweets,likes
Tue Mar 09 00:04:45 +0000 2021,"[NYC Vaccine Hub · Staten Island] Empire Outlets (S.I. residents only): 47 appts

Mar 12 – 11:15AM, 11:30AM, 11:45AM + 12
Mar 13 – 8:00AM, 8:15AM, 8:30AM + 29

https://t.co/jQDJPwNCK4",9,18
Mon Mar 08 23:05:50 +0000 2021,"[NYC Vaccine Hub · Bronx] Bathgate Contract Postal Station: 40 appts

Mar 9 – 2:00PM, 2:15PM, 2:30PM + 37

https://t.co/jQDJPwNCK4",16,22
Mon Mar 08 22:40:21 +0000 2021,"Many have messaged asking if Citi Field is still Queens-only. I wouldn't know so we'll need to wait for someone official to weigh in. As you can see in the screenshots there is currently no Queens-only qualifications

https://t.co/oUVkKGenpk",1,18
Mon Mar 08 22:02:23 +0000 2021,"[NYC Vaccine Hub · Queens] Citi Field: 191 appts

Mar 10 – 1:00AM, 1:15AM, 1:30AM + 13
Mar 11 – 12:15AM, 12:30AM, 12:45AM + 40
Mar 12 – 12:15AM, 12:30AM, 12:45AM + 71
+ 2 more days

https://t.co/jQDJPwNCK4",27,64
Mon Mar 08 21:05:12 +0000 2021,"[NYS Dept. of Health · Manhattan] Javits Center (Evening, J&amp;J): 1994 appts

Mar 10 – 12:01AM-6:00AM

https://t.co/rpNlvKMeLw",89,174
Mon Mar 08 14:43:53 +0000 2021,I'm fortunate to be able to use this moment to show off my only two skills: writing code and twitter. Thanks to all 100k of you who are not only finding vaccines for friends and family but also amplifying the concerns of the Asian-Am community. I appreciate your support 🙏🙏🙏,27,1399
Mon Mar 08 14:43:52 +0000 2021,"Good morning! We crossed 100k followers over the weekend. What a wild *checks notes* 6 weeks it's been. I suspect we'll be living in a very different vaccine world in another 6 weeks. Soon we will think fondly about those times we replied ""gone"" to every tweet",25,1365
Mon Mar 08 05:04:51 +0000 2021,"[NYC H+H · Brooklyn] Kings County Hospital: 41 appts

Mar 15 – 7:00AM, 7:15AM, 7:30AM + 38

https://t.co/iVRnr1hjSf",10,43
Mon Mar 08 00:28:18 +0000 2021,"[NYC Vaccine Hub · ] Bathgate Contract Postal Station: 84 appts

Mar 8 – 12:00AM, 12:15AM, 12:30AM + 81

https://t.co/jQDJPwNCK4",24,49
Sat Mar 06 19:33:37 +0000 2021,"5) @nyknicks are entering the All-Star break above .500. Trust the science

If you have other questions (which vaccine is offered at X site, how long are wait times or etc), feel free to ask below. I won't have the answers but somebody else might",10,191
Sat Mar 06 19:33:37 +0000 2021,4) the city is starting door-to-door vaccination with the J&amp;J vaccine. This is a good option for those who are homebound and cannot leave the house https://t.co/VENbMMiOlv,25,144
Sat Mar 06 19:33:37 +0000 2021,"3) NYP is now taking appointments both online and over the phone for eligible residents of Northern Manhattan and South Bronx 

https://t.co/54ICXm4MlR",7,24
Sat Mar 06 19:33:36 +0000 2021,"2) Educators and child care staff are now eligible for vaccines at pharmacies (in addition to 65+ NYers). This will hopefully open slots at other vaccine sites

https://t.co/hmZnAbBkTn",13,51
Sat Mar 06 19:33:36 +0000 2021,"TurboVaxers, a few general updates:

1) If you're wondering why this account isn't tweeting as often as before, it's because I've raised the min appt threshold to 30. Batches of &lt;30 appts are still reflected on https://t.co/38bdKjMGUt. Cancellations pop up all the time",29,291
