,year,on spotify?
1741,2013,Yes
1742,2011,No
1743,2020,No
1744,2020,No
1745,2012,Yes
1746,2015,No
1747,2017,Yes
1748,2020,No
1749,2011,No
1750,2018,No
1751,2012,Yes
1752,2012,No
1753,2017,No
1754,2016,No
1755,2013,No
1756,2012,No
1757,2020,No
1758,2017,No
1759,2017,No
1760,2012,Yes
1761,2014,No
1762,2011,No
1763,2017,No
1764,2019,No
1765,2009,No
1766,2020,Yes
1767,2020,No
1768,2014,No
1769,2017,No
1770,2014,No
1771,2011,No
1772,2009,Yes
1773,2019,No
1774,2013,No
1775,2016,No
1776,2013,No
1777,2021,No
1778,2013,No
1779,2016,Yes
1780,2020,No
1781,2020,Yes
1782,2018,No
1783,2015,No
1784,2020,No
1785,2013,No
1786,2019,No
1787,2015,No
1788,2016,Yes
1789,2018,No
1790,2016,No
1791,2012,No
1792,2017,Yes
1793,2020,Yes
1794,2016,Yes
1795,2019,No
1796,2013,No
1797,2011,No
1798,2013,No
1799,2019,Yes
1800,2013,No
1801,2016,No
1802,2014,No
1803,2018,No
1804,2018,No
1805,2013,No
1806,2017,No
1807,2013,No
1808,2021,No
1809,2020,Yes
1810,2013,No
1811,2011,No
1812,2015,No
1813,2011,No
1814,2010,Yes
1815,2018,No
1816,2015,No
1817,2010,Yes
1818,2019,No
1819,2018,Yes
1820,2013,Yes
1821,2019,Yes
1822,2019,No
1823,2020,No
1824,2018,No
1825,2009,Yes
1826,2020,No
1827,2017,Yes
1828,2015,No
1829,2015,No
1830,2017,No
1831,2010,No
1832,2018,No
1833,2013,No
1834,2021,No
1835,2015,No
1836,2015,No
1837,2014,Yes
1838,2020,Yes
1839,2020,No
1840,2016,No
1841,2014,No
1842,2015,No
1843,2019,No
1844,2019,Yes
1845,2011,No
1846,2020,No
1847,2020,No
1848,2021,No
1849,2014,No
1850,2013,No
1851,2020,Yes
1852,2014,Yes
1853,2016,Yes
1854,2012,Yes
1855,2020,Yes
1856,2020,No
1857,2013,No
1858,2020,Yes
1859,2012,No
1860,2021,No
1861,2017,No
1862,2019,No
1863,2018,Yes
1864,2014,Yes
1865,2020,No
1866,2016,No
1867,2017,No
1868,2013,No
1869,2020,No
1870,2016,No
1871,2015,No
1872,2014,No
1873,2014,No
1874,2015,Yes
1875,2021,No
1876,2016,Yes
1877,2015,No
1878,2020,No
1879,2010,No
1880,2019,No
1881,2012,No
1882,2019,No
1883,2020,No
1884,2015,No
1885,2019,No
1886,2016,Yes
1887,2017,No
1888,2011,Yes
1889,2015,No
1890,2015,No
1891,2019,No
1892,2017,No
1893,2014,No
1894,2012,No
1895,2019,No
1896,2011,No
1897,2011,No
1898,2019,No
1899,2013,Yes
1900,2010,No
1901,2017,No
1902,2013,No
1903,2020,No
1904,2016,No
1905,2016,No
1906,2012,No
1907,2019,No
1908,2016,Yes
1909,2019,No
1910,2018,Yes
1911,2012,No
1912,2011,No
1913,2010,No
1914,2016,No
1915,2016,No
1916,2012,No
1917,2014,No
1918,2017,No
1919,2017,No
1920,2019,No
1921,2016,No
1922,2011,No
1923,2018,No
1924,2018,No
1925,2013,No
1926,2019,No
1927,2014,No
1928,2018,No
1929,2019,No
1930,2012,Yes
1931,2021,No
1932,2019,No
1933,2016,No
1934,2013,No
1935,2019,No
1936,2020,Yes
1937,2019,Yes
1938,2013,No
1939,2015,No
1940,2012,No
1941,2016,No
1942,2015,Yes
1943,2018,No
1944,2020,No
1945,2017,No
1946,2013,Yes
1947,2018,No
1948,2012,Yes
1949,2017,Yes
1950,2021,Yes
1951,2016,No
1952,2017,Yes
1953,2012,No
1954,2019,Yes
1955,2014,No
1956,2010,No
1957,2021,No
1958,2013,No
1959,2013,No
1960,2016,No
1961,2019,No
1962,2015,No
1963,2020,Yes
1964,2014,No
1965,2020,No
1966,2020,Yes
1967,2016,Yes
1968,2011,No
1969,2016,No
1970,2011,No
1971,2018,No
1972,2016,No
1973,2017,No
1974,2015,No
1975,2017,No
1976,2013,No
1977,2010,Yes
1978,2016,No
1979,2013,No
1980,2017,Yes
1981,2011,No
1982,2020,Yes
1983,2018,No
1984,2020,No
1985,2015,No
1986,2017,No
1987,2017,Yes
1988,2018,No
1989,2010,No
1990,2011,No
1991,2009,No
1992,2014,No
1993,2016,No
1994,2016,No
1995,2021,No
1996,2015,No
1997,2020,No
1998,2019,No
1999,2014,No
2000,2018,No
2001,2019,Yes
2002,2015,No
2003,2013,No
2004,2019,Yes
2005,2018,No
2006,2011,No
2007,2017,No
2008,2010,No
2009,2019,No
2010,2014,No
2011,2020,Yes
2012,2012,No
2013,2020,No
2014,2020,No
2015,2019,Yes
2016,2017,No
2017,2017,No
2018,2016,Yes
2019,2015,Yes
2020,2013,No
2021,2012,No
2022,2019,Yes
2023,2014,No
2024,2013,Yes
2025,2015,No
2026,2018,No
2027,2016,No
2028,2014,No
2029,2021,Yes
2030,2018,No
2031,2017,No
2032,2012,Yes
2033,2016,No
2034,2019,Yes
2035,2014,No
2036,2019,No
2037,2010,Yes
2038,2009,No
2039,2020,Yes
2040,2017,Yes
2041,2013,No
2042,2012,No
2043,2012,Yes
2044,2020,No
2045,2011,Yes
2046,2016,No
2047,2012,No
2048,2020,No
2049,2012,No
2050,2018,Yes
2051,2018,No
2052,2017,No
2053,2018,No
2054,2016,No
2055,2011,Yes
2056,2018,No
2057,2020,Yes
2058,2011,No
2059,2020,No
2060,2016,No
2061,2011,Yes
2062,2017,No
2063,2016,No
2064,2018,No
2065,2018,No
2066,2015,No
2067,2018,No
2068,2020,No
2069,2020,Yes
2070,2015,No
2071,2011,No
2072,2017,Yes
2073,2013,No
2074,2016,No
2075,2020,No
2076,2011,No
2077,2010,No
2078,2018,No
2079,2014,No
2080,2014,No
2081,2016,No
2082,2013,Yes
2083,2015,No
2084,2020,No
2085,2020,No
2086,2016,No
2087,2021,No
2088,2013,No
2089,2019,No
2090,2015,Yes
2091,2012,Yes
2092,2017,No
2093,2020,No
2094,2009,No
2095,2019,Yes
2096,2014,No
2097,2017,No
2098,2015,No
2099,2020,No
2100,2017,No
2101,2013,Yes
2102,2018,No
2103,2020,No
2104,2018,No
2105,2018,No
2106,2014,No
2107,2019,Yes
2108,2020,Yes
2109,2018,No
2110,2019,No
2111,2014,Yes
2112,2018,Yes
2113,2019,No
2114,2013,No
2115,2020,No
2116,2018,No
2117,2017,Yes
2118,2017,Yes
2119,2020,No
2120,2018,No
2121,2020,No
2122,2020,No
2123,2011,Yes
2124,2021,Yes
2125,2012,No
2126,2009,Yes
2127,2012,No
2128,2012,No
2129,2010,No
2130,2018,Yes
2131,2017,No
2132,2018,Yes
2133,2010,No
2134,2020,No
2135,2014,No
2136,2020,Yes
2137,2013,No
2138,2013,No
2139,2015,Yes
2140,2017,No
2141,2020,No
2142,2019,Yes
2143,2019,No
2144,2018,No
2145,2020,Yes
2146,2016,No
2147,2013,No
2148,2014,No
2149,2020,Yes
2150,2019,No
2151,2017,No
2152,2014,Yes
2153,2011,Yes
2154,2016,Yes
2155,2018,No
2156,2017,Yes
2157,2013,No
2158,2012,No
2159,2019,No
2160,2020,No
2161,2012,No
2162,2020,No
2163,2010,No
2164,2021,No
2165,2013,Yes
2166,2011,No
2167,2016,No
2168,2010,No
2169,2014,Yes
2170,2016,No
2171,2014,No
2172,2020,No
2173,2011,No
2174,2013,No
2175,2019,No
2176,2014,No
2177,2015,No
2178,2015,No
2179,2020,No
2180,2019,Yes
2181,2018,No
2182,2012,Yes
2183,2009,Yes
2184,2012,No
2185,2018,Yes
2186,2013,No
2187,2020,No
2188,2017,No
2189,2015,No
2190,2013,No
2191,2013,No
2192,2013,No
2193,2013,Yes
2194,2008,No
2195,2017,No
2196,2020,Yes
2197,2010,Yes
2198,2014,No
2199,2016,No
2200,2015,No
2201,2020,Yes
2202,2020,No
2203,2018,No
2204,2013,No
2205,2014,No
2206,2014,No
2207,2020,No
2208,2019,No
2209,2011,No
2210,2012,No
2211,2012,No
2212,2017,No
2213,2013,Yes
2214,2018,No
2215,2012,Yes
2216,2014,No
2217,2018,No
2218,2021,No
2219,2018,Yes
2220,2016,Yes
2221,2013,Yes
2222,2011,Yes
2223,2012,No
2224,2013,No
2225,2017,No
2226,2020,No
2227,2011,Yes
2228,2020,No
2229,2013,No
2230,2011,No
2231,2014,No
2232,2015,No
2233,2016,Yes
2234,2014,No
2235,2019,Yes
2236,2016,Yes
2237,2014,Yes
2238,2011,No
2239,2019,No
2240,2013,No
2241,2012,No
2242,2011,No
2243,2018,Yes
2244,2011,Yes
2245,2012,No
2246,2019,No
2247,2012,No
2248,2019,No
2249,2012,No
2250,2013,No
2251,2011,Yes
2252,2017,No
2253,2020,Yes
2254,2017,No
2255,2018,No
2256,2015,No
2257,2020,No
2258,2017,No
2259,2013,No
2260,2019,Yes
2261,2018,No
2262,2015,No
2263,2012,No
2264,2013,No
2265,2017,Yes
2266,2015,No
2267,2016,Yes
2268,2018,No
2269,2016,No
2270,2020,Yes
2271,2019,Yes
2272,2017,No
2273,2014,No
2274,2012,Yes
2275,2014,No
2276,2018,No
2277,2016,No
2278,2012,No
2279,2014,No
2280,2010,No
2281,2014,Yes
2282,2020,No
2283,2021,Yes
2284,2021,No
2285,2014,No
2286,2015,No
2287,2017,Yes
2288,2015,No
2289,2011,No
2290,2018,No
2291,2011,No
2292,2013,No
2293,2020,No
2294,2021,Yes
2295,2018,Yes
2296,2015,No
2297,2017,No
2298,2018,No
2299,2017,No
2300,2019,No
2301,2018,No
2302,2018,Yes
2303,2012,No
2304,2016,Yes
2305,2018,No
2306,2019,Yes
2307,2020,Yes
2308,2020,No
2309,2013,Yes
2310,2013,Yes
2311,2020,Yes
2312,2011,Yes
2313,2019,No
2314,2012,No
2315,2010,No
2316,2021,No
2317,2017,No
2318,2011,Yes
2319,2012,No
2320,2017,No
2321,2017,Yes
2322,2010,Yes
2323,2012,No
2324,2015,No
2325,2019,No
2326,2018,No
2327,2012,Yes
2328,2010,Yes
2329,2017,No
2330,2016,No
2331,2019,No
2332,2020,No
2333,2014,No
2334,2016,No
2335,2017,Yes
2336,2017,Yes
2337,2018,No
2338,2021,No
2339,2018,Yes
2340,2021,No
2341,2016,No
2342,2015,No
2343,2012,No
2344,2014,Yes
2345,2020,Yes
2346,2020,Yes
2347,2019,Yes
2348,2017,Yes
2349,2015,No
2350,2016,No
2351,2010,No
2352,2013,No
2353,2013,No
2354,2018,No
2355,2017,No
2356,2019,No
2357,2019,Yes
2358,2013,No
2359,2018,No
2360,2018,Yes
2361,2017,No
2362,2013,No
2363,2019,Yes
2364,2020,No
2365,2017,Yes
2366,2016,No
2367,2020,No
2368,2016,No
2369,2012,No
2370,2019,No
2371,2018,No
2372,2020,Yes
2373,2014,No
2374,2019,Yes
2375,2020,No
2376,2019,No
2377,2017,Yes
2378,2013,Yes
2379,2014,Yes
2380,2016,No
2381,2019,No
2382,2020,No
2383,2019,No
2384,2020,Yes
2385,2019,No
2386,2017,No
2387,2015,No
2388,2017,No
2389,2020,Yes
2390,2020,Yes
2391,2017,No
2392,2013,No
2393,2020,No
2394,2020,Yes
2395,2016,No
2396,2010,No
2397,2014,No
2398,2019,No
2399,2018,No
2400,2010,No
2401,2017,Yes
2402,2020,Yes
2403,2021,Yes
2404,2017,No
2405,2013,Yes
2406,2013,No
2407,2013,No
2408,2011,No
2409,2011,No
2410,2009,No
2411,2015,No
2412,2015,No
2413,2015,No
2414,2014,No
2415,2017,No
2416,2011,No
2417,2013,Yes
2418,2015,No
2419,2019,No
2420,2018,No
2421,2016,No
2422,2017,No
2423,2015,No
2424,2012,No
2425,2014,No
2426,2019,Yes
2427,2019,No
2428,2015,No
2429,2017,No
2430,2012,No
2431,2016,No
2432,2016,Yes
2433,2017,Yes
2434,2012,No
2435,2012,No
2436,2020,No
2437,2014,No
2438,2017,No
2439,2015,No
2440,2014,No
2441,2013,No
2442,2019,No
2443,2014,No
2444,2016,No
2445,2019,No
2446,2016,No
2447,2011,No
2448,2014,No
2449,2012,No
2450,2012,No
2451,2020,Yes
2452,2019,No
2453,2016,No
2454,2015,No
2455,2010,No
2456,2018,No
2457,2016,No
2458,2018,Yes
2459,2010,No
2460,2021,No
2461,2019,Yes
2462,2011,Yes
2463,2016,No
2464,2013,No
2465,2012,Yes
2466,2020,Yes
2467,2014,Yes
2468,2015,Yes
2469,2011,No
2470,2014,Yes
2471,2013,No
2472,2015,No
2473,2017,Yes
2474,2016,No
2475,2017,No
2476,2019,No
2477,2010,Yes
2478,2019,No
2479,2016,No
2480,2019,Yes
2481,2017,No
2482,2017,No
2483,2011,No
2484,2014,Yes
2485,2017,No
2486,2019,Yes
2487,2011,No
2488,2013,Yes
2489,2017,Yes
2490,2013,No
2491,2010,Yes
2492,2014,No
2493,2012,Yes
2494,2016,No
2495,2016,Yes
2496,2020,No
2497,2012,No
2498,2011,Yes
2499,2015,No
2500,2013,Yes
2501,2017,Yes
2502,2019,No
2503,2018,Yes
2504,2013,No
2505,2019,No
2506,2013,Yes
2507,2014,Yes
2508,2016,Yes
2509,2020,Yes
2510,2020,No
2511,2016,No
2512,2012,Yes
2513,2017,No
2514,2017,No
2515,2020,Yes
2516,2017,Yes
2517,2011,No
2518,2012,No
2519,2013,No
2520,2021,No
2521,2016,No
2522,2018,Yes
2523,2011,Yes
2524,2021,No
2525,2012,No
2526,2015,No
2527,2020,No
2528,2016,Yes
2529,2011,No
2530,2015,No
2531,2017,No
2532,2015,No
2533,2013,No
2534,2020,No
2535,2012,No
2536,2017,No
2537,2012,No
2538,2014,Yes
2539,2017,No
2540,2019,Yes
2541,2014,No
2542,2013,No
2543,2013,No
2544,2015,No
2545,2014,Yes
2546,2014,No
2547,2018,No
2548,2019,Yes
2549,2013,No
2550,2018,No
2551,2014,No
2552,2015,No
2553,2020,Yes
2554,2012,No
2555,2014,Yes
2556,2020,Yes
2557,2015,No
2558,2018,No
2559,2011,No
2560,2012,No
2561,2009,No
2562,2012,No
2563,2016,No
2564,2017,No
2565,2016,No
2566,2018,No
2567,2020,No
2568,2012,No
2569,2020,No
2570,2015,No
2571,2015,No
2572,2013,Yes
2573,2013,No
2574,2016,Yes
2575,2014,Yes
2576,2016,Yes
2577,2016,Yes
2578,2017,No
2579,2011,Yes
2580,2019,Yes
2581,2017,No
2582,2019,No
2583,2017,No
2584,2011,No
2585,2020,No
2586,2016,No
2587,2012,No
2588,2015,Yes
2589,2016,No
2590,2014,No
2591,2016,No
2592,2013,No
2593,2018,Yes
2594,2016,Yes
2595,2016,No
2596,2014,No
2597,2019,No
2598,2019,No
2599,2017,No
2600,2019,No
2601,2012,No
2602,2017,No
2603,2020,No
2604,2014,No
2605,2016,No
2606,2015,No
2607,2016,No
2608,2016,No
2609,2014,No
2610,2018,No
2611,2013,No
2612,2018,No
2613,2020,Yes
2614,2015,No
2615,2014,No
2616,2018,No
2617,2018,Yes
2618,2020,Yes
2619,2013,No
2620,2011,No
2621,2012,No
2622,2010,No
2623,2013,No
2624,2009,No
2625,2014,Yes
2626,2012,No
2627,2014,No
2628,2013,No
2629,2016,No
2630,2015,No
2631,2011,No
2632,2013,No
2633,2013,Yes
2634,2019,No
2635,2020,Yes
2636,2010,Yes
2637,2011,Yes
2638,2020,No
2639,2015,No
2640,2020,No
2641,2020,No
2642,2009,No
2643,2016,No
2644,2020,No
2645,2020,No
2646,2013,Yes
2647,2010,Yes
2648,2017,No
2649,2010,No
2650,2017,No
2651,2019,Yes
2652,2016,No
2653,2017,No
2654,2020,No
2655,2020,No
2656,2012,No
2657,2019,No
2658,2020,Yes
2659,2019,No
2660,2018,No
2661,2018,No
2662,2012,No
2663,2018,No
2664,2020,No
2665,2012,No
2666,2019,No
2667,2011,No
2668,2020,Yes
2669,2011,No
2670,2018,No
2671,2016,No
2672,2018,No
2673,2011,No
2674,2020,No
2675,2018,No
2676,2020,No
2677,2020,No
2678,2017,No
2679,2020,Yes
2680,2015,No
2681,2018,No
2682,2015,No
2683,2017,No
2684,2018,No
2685,2018,Yes
2686,2017,No
2687,2016,Yes
2688,2015,No
2689,2012,Yes
2690,2013,No
2691,2019,No
2692,2017,No
2693,2012,No
2694,2014,Yes
2695,2016,No
2696,2019,Yes
2697,2019,No
2698,2016,No
2699,2013,Yes
2700,2018,No
2701,2013,No
2702,2021,No
2703,2017,No
2704,2019,No
2705,2017,No
2706,2013,No
2707,2018,No
2708,2012,Yes
2709,2012,No
2710,2015,No
2711,2020,No
2712,2012,No
2713,2019,Yes
2714,2020,Yes
2715,2014,No
2716,2013,No
2717,2017,Yes
2718,2012,No
2719,2014,No
2720,2011,Yes
2721,2017,Yes
2722,2014,No
2723,2019,Yes
2724,2012,No
2725,2009,No
2726,2020,Yes
2727,2018,No
2728,2012,No
2729,2021,No
2730,2014,No
2731,2015,No
2732,2013,No
2733,2018,No
2734,2012,Yes
2735,2012,Yes
2736,2010,Yes
2737,2013,Yes
2738,2012,No
2739,2013,Yes
2740,2019,No
2741,2015,No
2742,2017,No
2743,2020,Yes
2744,2010,Yes
2745,2016,Yes
2746,2014,No
2747,2014,No
2748,2016,Yes
2749,2013,No
2750,2019,No
2751,2020,No
2752,2014,No
2753,2016,No
2754,2016,No
2755,2020,No
2756,2013,No
2757,2012,No
2758,2013,No
2759,2018,No
2760,2016,No
2761,2012,No
2762,2015,No
2763,2010,No
2764,2014,No
2765,2011,Yes
2766,2012,No
2767,2017,No
2768,2010,Yes
2769,2017,Yes
2770,2012,No
2771,2013,No
2772,None,No
2773,2014,No
2774,2018,No
2775,2011,Yes
2776,2020,No
2777,2010,Yes
2778,2012,No
2779,2014,No
2780,2014,No
2781,2013,No
2782,2015,Yes
2783,2013,No
2784,2013,No
2785,2016,Yes
2786,2020,No
2787,2020,Yes
2788,2015,No
2789,2012,No
2790,2017,No
2791,2017,No
2792,2011,No
2793,2014,Yes
2794,2015,No
2795,2013,No
2796,2017,Yes
2797,2012,No
2798,2020,Yes
2799,2018,No
2800,2018,No
2801,2015,Yes
2802,2020,No
2803,2020,No
2804,2013,No
2805,2012,No
2806,2014,Yes
2807,2013,No
2808,2016,No
2809,2014,No
2810,2017,Yes
2811,2010,No
2812,2018,No
2813,2012,No
2814,2019,Yes
2815,2018,No
2816,2011,No
2817,2017,Yes
2818,2017,No
2819,2017,No
2820,2018,Yes
2821,2017,No
2822,2011,No
2823,2018,No
2824,2012,Yes
2825,2010,No
2826,2016,No
2827,2014,Yes
2828,2021,No
2829,2015,No
2830,2019,Yes
2831,2016,Yes
2832,2014,Yes
2833,2020,Yes
2834,2020,No
2835,2015,No
2836,2018,No
2837,2014,Yes
2838,2014,Yes
2839,2020,No
2840,2016,No
2841,2020,Yes
2842,2015,No
2843,2019,Yes
2844,2017,No
2845,2014,No
2846,2019,No
2847,2018,Yes
2848,2019,Yes
2849,2019,Yes
2850,2010,Yes
2851,2014,No
2852,2016,No
2853,2018,No
2854,2017,No
2855,2015,Yes
2856,2016,No
2857,2015,No
2858,2017,No
2859,2016,No
2860,2018,No
2861,2010,No
2862,2020,No
2863,2011,No
2864,2021,No
2865,2018,No
2866,2019,No
2867,2016,No
2868,2020,No
2869,2019,No
2870,2018,No
2871,2012,No
2872,2018,No
2873,2012,No
2874,2013,No
2875,2020,No
2876,2014,No
2877,2016,No
2878,2020,No
2879,2020,No
2880,2019,No
2881,2011,No
2882,2018,No
2883,2018,No
2884,2019,No
2885,2013,No
2886,2017,Yes
2887,2012,No
2888,2017,Yes
2889,2016,Yes
2890,2012,No
2891,2014,No
2892,2013,No
2893,2016,No
2894,2013,No
2895,2020,No
2896,2012,No
2897,2015,No
2898,2010,No
2899,2012,No
2900,2011,Yes
2901,2016,No
2902,2019,No
2903,2017,No
2904,2020,No
2905,2013,No
2906,2017,Yes
2907,2018,Yes
2908,2019,No
2909,2020,Yes
2910,2013,No
2911,2017,No
2912,2021,No
2913,2010,No
2914,2014,Yes
2915,2019,Yes
2916,2011,Yes
2917,2019,Yes
2918,2019,Yes
2919,2017,No
2920,2009,No
2921,2013,No
2922,2010,Yes
2923,2011,Yes
2924,2016,Yes
2925,2011,No
2926,2014,Yes
2927,2017,No
2928,2020,Yes
2929,2015,Yes
2930,2017,No
2931,2015,No
2932,2012,No
2933,2017,No
2934,2012,No
2935,2015,No
2936,2015,No
2937,2019,No
2938,2018,No
2939,2017,No
2940,2016,Yes
2941,2020,No
2942,2014,Yes
2943,2012,No
2944,2013,No
2945,2012,No
2946,2014,Yes
2947,2013,Yes
2948,2020,No
2949,2011,Yes
2950,2021,No
2951,2012,Yes
2952,2012,No
2953,2017,No
2954,2020,Yes
2955,2015,No
2956,2018,No
2957,2018,Yes
2958,2020,No
2959,2019,No
2960,2018,Yes
2961,2012,No
2962,2014,No
2963,2015,No
2964,2016,No
2965,2011,No
2966,2020,No
2967,2018,Yes
2968,2016,No
2969,2014,Yes
2970,2020,No
2971,2014,No
2972,2018,No
2973,2016,No
2974,2013,No
2975,2015,No
2976,2012,No
2977,2014,No
2978,2018,Yes
2979,2016,No
2980,2011,No
2981,2019,Yes
2982,2020,No
2983,2013,No
2984,2020,Yes
2985,2015,Yes
2986,2012,No
2987,2009,No
2988,2018,Yes
2989,2018,No
2990,2017,No
2991,2016,Yes
2992,2018,No
2993,2020,Yes
2994,2019,Yes
2995,2020,No
2996,2012,No
2997,2015,Yes
2998,2015,No
2999,2013,No
3000,2017,No
3001,2017,Yes
3002,2017,No
3003,2012,Yes
3004,2020,No
3005,2020,Yes
3006,2019,No
3007,2019,No
3008,2020,Yes
3009,2021,Yes
3010,2015,Yes
3011,2014,No
3012,2018,No
3013,2013,No
3014,2012,No
3015,2020,Yes
3016,2019,Yes
3017,2019,No
3018,2013,No
3019,2015,No
3020,2013,No
3021,2018,Yes
3022,2014,No
3023,2018,Yes
3024,2016,No
3025,2016,No
3026,2014,Yes
3027,2018,Yes
3028,2016,Yes
3029,2015,No
3030,2019,No
3031,2019,No
3032,2015,Yes
3033,2010,No
3034,2015,No
3035,2020,No
3036,2011,No
3037,2020,Yes
3038,2017,Yes
3039,2018,Yes
3040,2016,No
3041,2011,No
3042,2020,No
3043,2011,No
3044,2020,Yes
3045,2014,No
3046,2018,No
3047,2018,No
3048,2020,No
3049,2018,Yes
3050,2012,No
3051,2016,Yes
3052,2018,Yes
3053,2018,Yes
3054,2013,No
3055,2019,No
3056,2018,Yes
3057,2017,Yes
3058,2017,Yes
3059,2012,No
3060,2017,No
3061,2010,No
3062,2017,No
3063,2021,No
3064,2015,No
3065,2020,No
3066,2013,Yes
3067,2013,No
3068,2013,No
3069,2017,Yes
3070,2011,No
3071,2019,No
3072,2017,Yes
3073,2012,No
3074,2019,No
3075,2011,No
3076,2020,Yes
3077,2016,No
3078,2012,No
3079,2009,Yes
3080,2016,No
3081,2021,Yes
3082,2011,No
3083,2019,No
3084,2017,No
3085,2017,No
3086,2015,No
3087,2017,Yes
3088,2011,No
3089,2017,Yes
3090,2012,No
3091,2015,No
3092,2016,No
3093,2019,No
3094,2019,Yes
3095,2018,No
3096,2018,No
3097,2012,No
3098,2018,No
3099,2016,Yes
3100,2017,No
3101,2019,Yes
3102,2019,Yes
3103,2010,Yes
3104,2014,No
3105,2019,Yes
3106,2012,No
3107,2012,No
3108,2016,No
3109,2011,Yes
3110,2016,No
3111,2010,No
3112,2013,Yes
3113,2010,Yes
3114,2017,No
3115,2014,Yes
3116,2015,Yes
3117,2020,No
3118,2013,No
3119,2018,No
3120,2019,No
3121,2017,No
3122,2011,No
3123,2016,No
3124,2015,No
3125,2017,Yes
3126,2012,No
3127,2017,Yes
3128,2020,No
3129,2017,No
3130,2015,No
3131,2014,No
3132,2021,No
3133,2014,No
3134,2012,No
3135,2019,No
3136,2013,Yes
3137,2011,No
3138,2014,No
3139,2017,Yes
3140,2020,No
3141,2020,No
3142,2010,No
3143,2016,Yes
3144,2019,No
3145,2019,No
3146,2012,No
3147,2020,No
3148,2020,Yes
3149,2019,Yes
3150,2014,No
3151,2020,No
3152,2015,No
3153,2014,No
3154,2020,No
3155,2020,Yes
3156,2012,No
3157,2014,Yes
3158,2011,No
3159,2013,No
3160,2013,No
3161,2019,Yes
3162,2019,No
3163,2014,No
3164,2015,No
3165,2020,No
3166,2011,No
3167,2012,No
3168,2013,No
3169,2013,No
3170,2019,No
3171,2019,No
3172,2018,Yes
3173,2013,No
3174,2011,Yes
3175,2016,No
3176,2013,No
3177,2012,No
3178,2012,Yes
3179,2018,No
3180,2017,Yes
3181,2016,Yes
3182,2016,No
3183,2017,Yes
3184,2020,No
3185,2017,No
3186,2017,Yes
3187,2016,No
3188,2020,No
3189,2014,No
3190,2015,No
3191,2016,No
3192,2012,No
3193,2014,Yes
3194,2015,Yes
3195,2020,Yes
3196,2020,No
3197,2014,No
3198,2020,Yes
3199,2012,Yes
3200,2011,No
3201,2012,No
3202,2016,No
3203,2019,No
3204,2014,No
3205,2016,Yes
3206,2017,No
3207,2010,Yes
3208,2017,No
3209,2011,No
3210,2011,No
3211,2013,No
3212,2018,No
3213,2015,No
3214,2020,Yes
3215,2015,Yes
3216,2011,Yes
3217,2018,No
3218,2019,No
3219,2018,No
3220,2014,No
3221,2014,No
3222,2020,Yes
3223,2017,Yes
3224,2012,No
3225,2018,Yes
3226,2018,No
3227,2016,No
3228,2011,No
3229,2013,No
3230,2015,No
3231,2017,No
3232,2018,Yes
3233,2008,No
3234,2014,No
3235,2019,Yes
3236,2021,No
3237,2019,No
3238,2015,Yes
3239,2012,Yes
3240,2020,Yes
3241,2016,Yes
3242,2016,No
3243,2015,No
3244,2012,No
3245,2017,No
3246,2015,No
3247,2014,No
3248,2011,No
3249,2017,Yes
3250,2017,Yes
3251,2014,Yes
3252,2017,Yes
3253,2012,Yes
3254,2015,No
3255,2012,No
3256,2015,Yes
3257,2012,Yes
3258,2014,No
3259,2019,No
3260,2011,No
3261,2020,No
3262,2020,No
3263,2015,No
3264,2017,No
3265,2015,No
3266,2015,No
3267,2020,Yes
3268,2013,No
3269,2012,Yes
3270,2020,Yes
3271,2017,No
3272,2009,No
3273,2017,No
3274,2014,Yes
3275,2014,No
3276,2013,No
3277,2015,No
3278,2019,No
3279,2011,Yes
3280,2013,Yes
3281,2013,No
3282,2012,No
3283,2014,No
3284,2013,No
3285,2016,No
3286,2012,No
3287,2021,Yes
3288,2015,Yes
3289,2011,Yes
3290,2017,Yes
3291,2016,No
3292,2017,No
3293,2016,No
3294,2020,No
3295,2019,No
3296,2015,Yes
3297,2019,No
3298,2012,No
3299,2016,No
3300,2014,No
3301,2017,No
3302,2018,Yes
3303,2017,No
3304,2014,No
3305,2016,No
3306,2011,No
3307,2019,No
3308,2017,Yes
3309,2014,No
3310,2020,No
3311,2013,No
3312,2012,No
3313,2017,No
3314,2020,No
3315,2014,No
3316,2011,No
3317,2014,No
3318,2020,No
3319,2012,No
3320,2015,No
3321,2012,No
3322,2013,No
3323,2019,No
3324,2013,No
3325,2012,No
3326,2017,No
3327,2011,No
3328,2013,No
3329,2014,No
3330,2014,No
3331,2012,Yes
3332,2019,Yes
3333,2020,No
3334,2016,No
3335,2021,No
3336,2020,Yes
3337,2015,No
3338,2010,No
3339,2013,Yes
3340,2019,No
3341,2013,No
3342,2015,No
3343,2016,No
3344,2015,No
3345,2018,No
3346,2019,No
3347,2011,No
3348,2017,No
3349,2013,No
3350,2016,No
3351,2012,No
3352,2015,Yes
3353,2017,No
3354,2015,Yes
3355,2015,Yes
3356,2020,Yes
3357,2016,No
3358,2013,No
3359,2019,Yes
3360,2013,No
3361,2017,Yes
3362,2016,No
3363,2010,Yes
3364,2013,No
3365,2015,No
3366,2017,No
3367,2017,No
3368,2019,No
3369,2011,No
3370,2019,No
3371,2014,No
3372,2018,No
3373,2020,No
3374,2015,No
3375,2013,No
3376,2016,Yes
