,year,on spotify?
422,2012,No
423,2021,No
424,2019,No
425,2015,Yes
426,2016,Yes
427,2017,No
428,2018,No
429,2011,No
430,2017,Yes
431,2012,No
432,2019,No
433,2013,No
434,2015,No
435,2018,No
436,2014,No
437,2012,No
438,2019,No
439,2014,No
440,2016,Yes
441,2013,No
442,2019,No
443,2014,No
444,2018,Yes
445,2020,No
446,2019,Yes
447,2018,No
448,2016,Yes
449,2011,No
450,2013,No
451,2017,No
452,2010,Yes
453,2016,No
454,2020,No
455,2012,Yes
456,2016,No
457,2012,Yes
458,2020,Yes
459,2021,No
460,2019,Yes
461,2018,No
462,2020,No
463,2012,No
464,2020,No
465,2017,No
466,2014,No
467,2013,No
468,2012,No
469,2010,No
470,2019,No
471,2012,No
472,2011,No
473,2015,No
474,2014,No
475,2013,No
476,2019,No
477,2018,No
478,2016,Yes
479,2014,No
480,2013,No
481,2012,No
482,2011,Yes
483,2013,Yes
484,2012,No
485,2017,No
486,2010,No
487,2016,Yes
488,2020,No
489,2014,No
490,2010,No
491,2011,Yes
492,2019,No
493,2016,No
494,2020,No
495,2016,No
496,2018,No
497,2013,Yes
498,2011,No
499,2018,No
500,2017,No
501,2019,No
502,2018,No
503,2012,Yes
504,2013,No
505,2019,Yes
506,2013,No
507,2016,No
508,2012,No
509,2011,No
510,2019,No
511,2011,No
512,2016,No
513,2014,No
514,2011,Yes
515,2012,No
516,2013,No
517,2019,No
518,2012,No
519,None,No
520,2021,No
521,2020,No
522,2020,No
523,2014,No
524,2012,Yes
525,2015,Yes
526,2020,No
527,2014,No
528,2018,No
529,2016,No
530,2015,No
531,2016,No
532,2020,No
533,2020,No
534,2020,No
535,2020,Yes
536,2016,No
537,2020,No
538,2014,No
539,2016,No
540,2017,Yes
541,2017,No
542,2014,No
543,2021,No
544,2016,No
545,2017,No
546,2013,No
547,2013,No
548,2016,No
549,2010,Yes
550,2013,No
551,2014,No
552,2020,No
553,2020,No
554,2012,Yes
555,2012,No
556,2016,Yes
557,2012,No
558,2015,No
559,2018,No
560,2015,No
561,2020,No
562,2013,No
563,2013,No
564,2017,No
565,2016,No
566,2011,No
567,2020,Yes
568,2015,No
569,2017,No
570,2015,No
571,2019,No
572,2016,Yes
573,2020,No
574,2019,No
575,2017,No
576,2015,No
577,2012,Yes
578,2014,No
579,2021,No
580,2016,No
581,2017,No
582,2017,Yes
583,2010,Yes
584,2018,Yes
585,None,No
586,2015,No
587,2010,No
588,2011,No
589,2014,Yes
590,2013,No
591,2012,No
592,2020,No
593,2018,No
594,2018,No
595,2010,No
596,2015,No
597,2015,Yes
598,2017,No
599,2021,No
600,2016,Yes
601,2013,Yes
602,2013,No
603,2019,Yes
604,2018,Yes
605,2020,No
606,2015,No
607,2012,No
608,2019,No
609,2012,No
610,2015,No
611,2013,No
612,2009,No
613,2012,No
614,2015,Yes
615,2013,Yes
616,2014,No
617,2014,Yes
618,2014,No
619,2019,No
620,2017,No
621,2011,Yes
622,2015,No
623,2019,Yes
624,2012,No
625,2012,Yes
626,2014,Yes
627,2013,No
628,2012,Yes
629,2020,Yes
630,2010,No
631,2010,No
632,2020,No
633,2016,No
634,2012,Yes
635,2018,No
636,2011,Yes
637,2013,Yes
638,2020,Yes
639,2020,Yes
640,2016,Yes
641,2020,Yes
642,2013,No
643,2015,No
644,2019,No
645,2020,Yes
646,2014,No
647,2013,No
648,2015,No
649,2015,Yes
650,2016,No
651,2016,No
652,2014,No
653,2016,No
654,2019,No
655,2013,Yes
656,2020,Yes
657,2017,No
658,2013,No
659,2018,No
660,2016,Yes
661,2016,No
662,2010,No
663,2016,No
664,2011,No
665,2015,Yes
666,2011,No
667,2013,No
668,2016,Yes
669,2012,No
670,2011,No
671,2016,No
672,2011,No
673,2010,Yes
674,2015,No
675,2016,No
676,2017,No
677,2017,Yes
678,2017,No
679,2019,Yes
680,2010,No
681,2012,No
682,2020,No
683,2014,No
684,2014,No
685,2016,No
686,2012,Yes
687,2014,No
688,2020,Yes
689,2020,Yes
690,2010,No
691,2021,No
692,2020,No
693,2016,No
694,2014,No
695,2018,No
696,2013,No
697,2012,No
698,2017,No
699,2017,Yes
700,2015,No
701,2021,No
702,2014,Yes
703,2013,No
704,2011,Yes
705,2015,No
706,2019,No
707,2015,Yes
708,2017,Yes
709,2015,No
710,2021,No
711,2013,No
712,2016,Yes
713,2020,Yes
714,2014,No
715,2015,No
716,2013,No
717,2020,No
718,2018,Yes
719,2017,Yes
720,2014,No
721,2020,Yes
722,2012,No
